Mean (X),STD (X),Mean (Y),STD (Y),Mean (Z),STD (Z),Activity
-4.435339300000001,0.8787498023205879,-6.157818943956042,1.4402390614455978,5.010604597252747,2.770903905422498,
-5.056817594949495,3.4617673996158347,-8.23145233131313,1.816766814521162,-1.8634945321212122,4.039180795361098,
-4.127017805555554,2.731517006090258,-8.157388148181814,3.921418535306756,-0.516973442262626,5.859047021871772,
-2.7536617450300027,3.120795238438851,-7.940615404349996,4.094305740226768,0.13552217429999946,6.031062352424001,
-2.48510820105,2.834061199303171,-7.898858239000003,3.5892373530715536,-0.6680308094820008,6.023233135184419,
-3.9332926779599995,1.735687234964781,-8.368521529999997,1.8076272525032737,-3.5125116854,2.056505280406598,
-5.1465098890909085,2.5667414689319323,-7.573571875256571,3.834733277988913,-0.6869230500000004,5.3620527226430115,
-5.339001476699999,2.1931103563196115,-6.961100300099999,3.6660553666673956,-0.8132049085269998,5.188249950928812,
-5.504078249200002,1.9334485342296064,-7.249592366599999,2.7365574457450696,-0.4854704594500003,4.594778900095447,
-5.641276890000001,1.6785453702646322,-6.873119246799997,3.462154680209449,-0.15065870495999997,4.776756212652174,
-5.459135689000001,1.1996897630603942,-7.597121694999999,1.761124097148872,-0.1081710562300004,3.360451668819687,
-4.85781810735,2.0250313677729235,-8.173411339000001,1.4173668238466004,-0.8875104176830001,2.29326698490491,
